Players,Rank
Scottie Scheffler,1
Rory McIlroy,2
Jon Rahm,3
Xander Schauffele,4
Hideki Matsuyama,5
Brooks Koepka,6
Jordan Spieth,7
Joaquin Niemann,8
Ludvig Aberg,9
Bryson DeChambeau,10
Matt Fitzpatrick,11
Wyndham Clark,12
Viktor Hovland,13
Tony Finau,14
Will Zalatoris,15
Shane Lowry,16
Patrick Cantlay,17
Tommy Fleetwood,18
Cameron Young,19
Cameron Smith,20
Sahith Theegala,21
Collin Morikawa,22
Dustin Johnson,23
Justin Thomas,24
Russell Henley,25
Tyrrell Hatton,26
Si Woo Kim,27
Brian Harman,28
Sam Burns,29
Max Homa,30
Corey Conners,31
Jason Day,32
Patrick Reed,33
Akshay Bhatia,34
Adam Scott,35
Min Woo Lee,36
Byeong Hun An,37
Denny Mccarthy,38
Sung-Jae Im,39
Tiger Woods,40
Sergio Garcia,41
Justin Rose,42
Rickie Fowler,43
Tom Kim,44
Harris English,45
Sepp Straka,46
Chris Kirk,47
Stephan Jaeger,48
Adrian Meronk,49
Nick Taylor,50
Keegan Bradley,51
Kurt Kitayama,52
Nicolai Hojgaard,53
Adam Hadwin,54
Phil Mickelson,55
Taylor Moore,56
Matthieu Pavon,57
Thorbjorn Olesen,58
Austin Eckroat,59
Eric Cole,60
Erik Van Rooyen,61
JT Poston,62
Ryan Fox,63
Jake Knapp,64
Emiliano Grillo,65
Adam Schenk,66
Gary Woodland,67
Nick Dunlap,68
Cam Davis,69
Lucas Glover,70
Bubba Watson,71
Luke List,72
Peter Malnati,73
Ryo Hisatsune,74
Charl Schwartzel,75
Lee Hodges,76
Danny Willett,77
Fred Couples,78
Jose Maria Olazabal,79
Mike Weir,80
Vijay Singh,81
Zach Johnson,82
Camilo Villegas,83
Grayson Murray,84
Christo Lamprecht,85
Jasper Stubbs,86
Neal Shipley,87
Santiago De La Fuente,88
Stewart Hagestad,89
