POS,PLAYER,SCORE,R1,R2,R3,R4,TOT,EARNINGS,FEDEX PTS,tourney_id
1,Robert MacIntyre,-18,67,65,63,67,262,"$1,575,000",500,401580359
2,Adam Scott,-17,67,65,64,67,263,"$985,500",300,401580359
3,Romain Langasque,-15,66,68,67,64,265,"$590,850",0,401580359
T4,Aaron Rai,-14,68,65,70,63,266,"$318,525",100,401580359
T4,Rory McIlroy,-14,65,66,67,68,266,"$318,525",100,401580359
T4,Sahith Theegala,-14,66,65,66,69,266,"$318,525",100,401580359
T4,Collin Morikawa,-14,65,66,66,69,266,"$318,525",100,401580359
T4,Sungjae Im,-14,63,67,67,69,266,"$318,525",100,401580359
T4,Ludvig Åberg,-14,64,64,65,73,266,"$318,525",100,401580359
T10,Richard Mansell,-13,67,69,70,61,267,"$183,330",0,401580359
T10,Wyndham Clark,-13,68,68,69,62,267,"$183,330",65,401580359
T10,Victor Perez,-13,68,66,68,65,267,"$183,330",65,401580359
T10,Alex Noren,-13,65,66,71,65,267,"$183,330",65,401580359
T10,Corey Conners,-13,65,67,68,67,267,"$183,330",65,401580359
T15,Tom Kim,-12,69,66,69,64,268,"$130,800",50,401580359
T15,Niklas Nørgaard Møller,-12,66,67,70,65,268,"$130,800",0,401580359
T15,Alejandro Del Rey,-12,69,62,72,65,268,"$130,800",0,401580359
T15,Connor Syme,-12,68,66,67,67,268,"$130,800",0,401580359
T15,Xander Schauffele,-12,69,65,67,67,268,"$130,800",50,401580359
T15,Matteo Manassero,-12,67,63,68,70,268,"$130,800",0,401580359
T21,Brian Harman,-11,67,67,69,66,269,"$97,650",39,401580359
T21,Max Greyserman,-11,67,66,69,67,269,"$97,650",39,401580359
T21,Haotong Li,-11,64,71,66,68,269,"$97,650",0,401580359
T21,Rasmus Højgaard,-11,68,63,70,68,269,"$97,650",0,401580359
T21,Maximilian Kieffer,-11,64,72,64,69,269,"$97,650",0,401580359
T26,Si Woo Kim,-10,68,69,71,62,270,"$73,350",29,401580359
T26,Nick Bachem,-10,67,69,69,65,270,"$73,350",0,401580359
T26,Jorge Campillo,-10,68,67,68,67,270,"$73,350",29,401580359
T26,Thomas Detry,-10,64,69,69,68,270,"$73,350",29,401580359
T26,Cam Davis,-10,68,66,66,70,270,"$73,350",29,401580359
T26,Yannik Paul,-10,65,67,68,70,270,"$73,350",0,401580359
T26,Matthew Jordan,-10,67,65,68,70,270,"$73,350",0,401580359
T26,Antoine Rozner,-10,65,64,68,73,270,"$73,350",0,401580359
T34,Jesper Svensson,-9,69,67,70,65,271,"$56,790",0,401580359
T34,Harris English,-9,68,68,70,65,271,"$56,790",20,401580359
T34,Kurt Kitayama,-9,67,69,70,65,271,"$56,790",20,401580359
T34,Adam Hadwin,-9,69,65,68,69,271,"$56,790",20,401580359
T34,Tommy Fleetwood,-9,65,69,66,71,271,"$56,790",20,401580359
T39,Shubhankar Sharma,-8,69,68,70,65,272,"$45,450",0,401580359
T39,Thorbjørn Olesen,-8,68,68,69,67,272,"$45,450",14,401580359
T39,Grant Forrest,-8,67,69,67,69,272,"$45,450",0,401580359
T39,Matt Fitzpatrick,-8,67,69,66,70,272,"$45,450",14,401580359
T39,Ben Griffin,-8,65,70,67,70,272,"$45,450",14,401580359
T39,Nicolai Højgaard,-8,66,66,68,72,272,"$45,450",14,401580359
T39,Erik van Rooyen,-8,67,67,64,74,272,"$45,450",14,401580359
T46,Davis Thompson,-7,65,72,71,65,273,"$31,369",8,401580359
T46,Francesco Molinari,-7,66,69,72,66,273,"$31,369",8,401580359
T46,Brendon Todd,-7,65,69,71,68,273,"$31,369",8,401580359
T46,Viktor Hovland,-7,67,69,68,69,273,"$31,369",8,401580359
T46,Eric Cole,-7,71,64,69,69,273,"$31,369",8,401580359
T46,Junghwan Lee,-7,67,68,69,69,273,"$31,369",0,401580359
T46,Daniel Hillier,-7,66,71,66,70,273,"$31,369",0,401580359
T46,Lee Hodges,-7,67,68,68,70,273,"$31,369",8,401580359
T46,Ben Kohles,-7,71,64,68,70,273,"$31,369",8,401580359
T46,Mackenzie Hughes,-7,66,66,69,72,273,"$31,369",8,401580359
T46,Ugo Coussaud,-7,65,67,68,73,273,"$31,369",0,401580359
T57,Sam Stevens,-6,69,68,71,66,274,"$25,110",5,401580359
T57,Charley Hoffman,-6,70,67,70,67,274,"$25,110",5,401580359
T57,Nick Taylor,-6,65,71,69,69,274,"$25,110",5,401580359
T57,Ryan Fox,-6,67,67,70,70,274,"$25,110",5,401580359
61,Daniel Brown,-5,65,69,67,74,275,"$23,760",0,401580359
T62,Marcel Siem,-4,69,68,69,70,276,"$22,680",0,401580359
T62,Justin Thomas,-4,62,72,71,71,276,"$22,680",4,401580359
T62,Stewart Cink,-4,66,67,70,73,276,"$22,680",4,401580359
T65,Séamus Power,-3,69,67,73,68,277,"$20,700",4,401580359
T65,Ashun Wu,-3,67,69,70,71,277,"$20,700",0,401580359
T67,Gary Woodland,-2,67,69,72,70,278,"$19,440",3,401580359
T67,Justin Lower,-2,64,72,71,71,278,"$19,440",3,401580359
T67,Jens Dantorp,-2,67,68,72,71,278,"$19,440",0,401580359
T70,Max Homa,-1,67,70,73,69,279,"$18,900",3,401580359
T70,Andrew Novak,-1,66,71,72,70,279,"$18,900",3,401580359
T70,Julien Guerrier,-1,69,68,69,73,279,"$18,900",0,401580359
73,Min Woo Lee,+2,67,70,70,75,282,"$18,540",3,401580359
74,Taylor Montgomery,+3,66,71,72,74,283,"$18,360",3,401580359
-,Jordan Gumberg,CUT,72,66,--,--,138,--,0,401580359
-,Hideki Matsuyama,CUT,71,67,--,--,138,--,0,401580359
-,Thriston Lawrence,CUT,71,67,--,--,138,--,0,401580359
-,Nacho Elvira,CUT,71,67,--,--,138,--,0,401580359
-,Chandler Phillips,CUT,70,68,--,--,138,--,0,401580359
-,Tom Hoge,CUT,70,68,--,--,138,--,0,401580359
-,Sepp Straka,CUT,70,68,--,--,138,--,0,401580359
-,Sami Välimäki,CUT,70,68,--,--,138,--,0,401580359
-,Doug Ghim,CUT,70,68,--,--,138,--,0,401580359
-,Tom McKibbin,CUT,69,69,--,--,138,--,0,401580359
-,Calum Hill,CUT,69,69,--,--,138,--,0,401580359
-,Luke Donald,CUT,68,70,--,--,138,--,0,401580359
-,Joost Luiten,CUT,68,70,--,--,138,--,0,401580359
-,Guido Migliozzi,CUT,68,70,--,--,138,--,0,401580359
-,Rikuya Hoshino,CUT,67,71,--,--,138,--,0,401580359
-,Dylan Frittelli,CUT,67,71,--,--,138,--,0,401580359
-,Austin Eckroat,CUT,67,71,--,--,138,--,0,401580359
-,Byeong Hun An,CUT,65,73,--,--,138,--,0,401580359
-,Callum Shinkwin,CUT,72,67,--,--,139,--,0,401580359
-,Simon Forsström,CUT,72,67,--,--,139,--,0,401580359
-,Kiradech Aphibarnrat,CUT,72,67,--,--,139,--,0,401580359
-,Jordan Spieth,CUT,71,68,--,--,139,--,0,401580359
-,Aaron Cockerill,CUT,71,68,--,--,139,--,0,401580359
-,Pablo Larrazábal,CUT,70,69,--,--,139,--,0,401580359
-,Luke List,CUT,70,69,--,--,139,--,0,401580359
-,Hurly Long,CUT,70,69,--,--,139,--,0,401580359
-,Scott Jamieson,CUT,69,70,--,--,139,--,0,401580359
-,Keith Mitchell,CUT,69,70,--,--,139,--,0,401580359
-,Louis de Jager,CUT,69,70,--,--,139,--,0,401580359
-,Laurie Canter,CUT,69,70,--,--,139,--,0,401580359
-,Marcus Armitage,CUT,68,71,--,--,139,--,0,401580359
-,Emiliano Grillo,CUT,72,68,--,--,140,--,0,401580359
-,David Law,CUT,72,68,--,--,140,--,0,401580359
-,Adri Arnaus,CUT,71,69,--,--,140,--,0,401580359
-,Jeong-Woo Ham,CUT,71,69,--,--,140,--,0,401580359
-,Matthew Southgate,CUT,70,70,--,--,140,--,0,401580359
-,Andrew Putnam,CUT,69,71,--,--,140,--,0,401580359
-,Billy Horschel,CUT,69,71,--,--,140,--,0,401580359
-,Oliver Wilson,CUT,68,72,--,--,140,--,0,401580359
-,Matt Wallace,CUT,68,72,--,--,140,--,0,401580359
-,Matti Schmid,CUT,68,72,--,--,140,--,0,401580359
-,Alex Fitzpatrick,CUT,65,75,--,--,140,--,0,401580359
-,Ewen Ferguson,CUT,73,68,--,--,141,--,0,401580359
-,Ockie Strydom,CUT,73,68,--,--,141,--,0,401580359
-,Keita Nakajima,CUT,73,68,--,--,141,--,0,401580359
-,Matthew Baldwin,CUT,73,68,--,--,141,--,0,401580359
-,Jeff Winther,CUT,72,69,--,--,141,--,0,401580359
